[FIRED] Logged: 8c507ce9-5be0-4bb3-b261-fb2c76e8abc6, ETH-USDT, 5min, LONG, 2025-09-25T15:35:02.300260, 99, SCORE: 9, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 21.0, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 70.2%
[FIRED] Logged: b02c152e-eaa8-49ad-9a91-017adb1e23b2, BERA-USDT, 5min, LONG, 2025-09-25T15:35:23.213960, 98, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.6, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 62.2%
[FIRED] Logged: 90107c77-638d-4880-900e-d6916944ff89, MAGIC-USDT, 3min, LONG, 2025-09-25T15:37:15.890949, 98, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: 1204a8c5-afc5-466f-85ba-56bf846a5c3b, WLFI-USDT, 5min, LONG, 2025-09-25T15:39:32.094747, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.6, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 62.2%
[FIRED] Logged: 311960dc-67ca-4f7c-a434-1af5c075410e, MAGIC-USDT, 3min, LONG, 2025-09-25T15:44:51.881791, 96, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: 02d900c7-b0c4-433a-a6c6-e5c1ff9e315a, BTC-USDT, 3min, LONG, 2025-09-25T15:50:17.602716, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: 794591c0-5815-4cd5-adf8-ba042206adab, MAGIC-USDT, 5min, LONG, 2025-09-25T15:54:24.116354, 99, SCORE: 9, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 21.0, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 70.2%
[FIRED] Logged: 668bec20-5a18-4a96-a6f5-058b04debab1, BTC-USDT, 5min, LONG, 2025-09-25T15:59:47.215289, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: 1ea092cb-1e85-469f-a957-1f108afd35a6, TURBO-USDT, 5min, LONG, 2025-09-25T16:00:39.246293, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.3, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.2%
[FIRED] Logged: a9e6d742-25fc-41ae-ba4d-ac772bb829d8, MAGIC-USDT, 5min, LONG, 2025-09-25T16:02:03.685466, 99, SCORE: 9, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 21.0, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 70.2%
[FIRED] Logged: 54bc5bab-c859-475c-821b-ba5ad1a8c731, RAY-USDT, 3min, LONG, 2025-09-25T16:02:29.240713, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.6, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 62.2%
[FIRED] Logged: ccc037ba-ccbf-4f85-bf98-31578d290ca1, RAY-USDT, 5min, LONG, 2025-09-25T16:02:31.135200, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.6, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 62.2%
[FIRED] Logged: 6ba3ab05-db51-4a56-abe5-4b35a6ba57c7, WLFI-USDT, 5min, LONG, 2025-09-25T16:10:02.519002, 98, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: ddb358ab-9eb1-4c90-a0f5-264091848f0a, ARKM-USDT, 3min, LONG, 2025-09-25T16:10:11.721642, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: 63902b55-fa77-43f3-9452-b74681553d1e, VINE-USDT, 3min, LONG, 2025-09-25T16:11:54.307307, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.6, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 65.6%
[FIRED] Logged: 62b8485e-d28c-40f3-b0ba-0aa56b3205a8, ARKM-USDT, 3min, LONG, 2025-09-25T16:12:11.221485, 98, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: 217f1f00-8759-4802-8417-6664b7e26ac0, WLFI-USDT, 3min, LONG, 2025-09-25T16:51:26.745730, 98, SCORE: 9, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 21.0, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 70.2%
[FIRED] Logged: 91c9146f-7509-404b-905d-2f83b43b6f37, PROMPT-USDT, 3min, LONG, 2025-09-25T17:08:28.384499, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.1, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 60.5%
[FIRED] Logged: 2049cfe6-da45-434f-99d4-7e5bf42c6cd7, EIGEN-USDT, 3min, LONG, 2025-09-25T17:26:58.346831, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 19.6, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 65.6%
[FIRED] Logged: 56161526-6929-47f1-8c10-a723c9a8f200, SPK-USDT, 3min, LONG, 2025-09-25T17:27:00.917274, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 18.6, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 62.2%
[FIRED] Logged: 23dee4d1-680a-4435-8445-4c714cfdffd8, HYPE-USDT, 5min, LONG, 2025-09-25T17:38:17.668526, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.6, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 62.2%
[FIRED] Logged: f2c6791f-cae1-4b5a-947e-8e5f31f9e3ef, HYPE-USDT, 3min, LONG, 2025-09-25T18:16:55.986605, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: 0f93c7ad-a2d0-4df3-ad4d-f150d75eb276, ARKM-USDT, 3min, LONG, 2025-09-25T18:20:47.575449, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.9, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 63.2%
[FIRED] Logged: eb78cd00-3d02-4d10-91f5-b1efc80a090e, POL-USDT, 3min, LONG, 2025-09-25T18:49:38.604027, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: 30c72a39-c1d2-4425-9890-b7e7d7edc7cd, RAY-USDT, 3min, LONG, 2025-09-25T18:49:41.097207, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: 72662bf8-e9f4-456b-86dd-d1377a151843, AAVE-USDT, 3min, LONG, 2025-09-25T18:49:45.143327, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: b1df06ca-090e-4de0-b966-158be25298a3, TURBO-USDT, 3min, LONG, 2025-09-25T18:49:54.056632, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: 191cbb0b-0ee0-4499-8317-3f9b9e4c9b31, ATH-USDT, 5min, LONG, 2025-09-25T18:55:21.950599, 98, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: e2d80e35-71f7-4e5f-9eee-4502f0a888a1, SPK-USDT, 3min, LONG, 2025-09-25T19:02:31.124422, 99, SCORE: 9, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 21.0, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 70.2%
[FIRED] Logged: be1499be-6dc2-4474-ba3d-df21a786ce18, MAGIC-USDT, 3min, LONG, 2025-09-25T19:09:30.809339, 98, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: 2d2c54fb-ef8f-4e2a-a790-fd0ef2e5823b, MAGIC-USDT, 3min, LONG, 2025-09-25T19:11:21.538772, 98, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: 397dd80f-d21c-456d-9e2d-11697ac63439, ATH-USDT, 3min, LONG, 2025-09-25T19:11:50.294309, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: 759d186d-290c-4808-9f28-7941154ec7c5, ARKM-USDT, 3min, LONG, 2025-09-25T19:13:41.227955, 98, SCORE: 9, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 21.3, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 71.2%
[FIRED] Logged: 1f6e45dc-a93a-46ce-b036-582e963748e9, DOGE-USDT, 3min, LONG, 2025-09-25T19:20:42.681879, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: 59137bab-767c-4de3-81ea-84aa90f8b99d, ARKM-USDT, 5min, LONG, 2025-09-25T19:20:59.477178, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.9, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 63.2%
