symbol,timeframe,signal_type,entry_price,tp_target,sl_target,exit_price,exit_reason,timeout_price,pnl_pct,result,timeout_result,hold_bars,mfe,mae,fired_time,achieved_rr,score,confidence
AAVE-USDT,15min,LONG,118.40728899999999,122.835894,117.94764614,117.94764614,SL,,-0.3881879771776451,LOSS,,1,-0.28063221682238565,-1.0770358909238997,2026-02-22T16:58:05.548514,9.63488261299247,13,75.0
AAVE-USDT,15min,LONG,118.40728899999999,122.835894,117.94764614,117.94764614,SL,,-0.3881879771776451,LOSS,,1,-0.28063221682238565,-1.0770358909238997,2026-02-22T16:58:35.358186,9.63488261299247,13,75.0
AIN-USDT,15min,LONG,0.032452419999999996,0.03287048,0.03231313,0.03231313,SL,,-0.42921298319198786,LOSS,,1,0.3006863586752755,-1.424916847495497,2026-02-22T16:41:06.681053,3.0014564102563908,13,74.4
AIN-USDT,15min,LONG,0.03244241,0.03287048,0.0323017,0.0323017,SL,,-0.4337224022506198,LOSS,,1,0.3316338089556375,-1.3945018264672702,2026-02-22T16:41:46.018389,3.042121827411187,13,74.4
AIN-USDT,15min,LONG,0.032462429999999994,0.03287048,0.03232172,0.03232172,SL,,-0.4334549200413996,LOSS,,1,0.2697579940873467,-1.4553131111872895,2026-02-22T16:42:47.053972,2.899847715736091,13,74.4
AIN-USDT,15min,LONG,0.03247243999999999,0.03287048,0.03232101,0.03232101,SL,,-0.46633391269640995,LOSS,,2,0.02328128098784882,-1.7320533966649583,2026-02-22T16:54:20.149910,2.6285660377358795,13,75.0
AIN-USDT,15min,LONG,0.032462429999999994,0.03287048,0.032311,0.032311,SL,,-0.4664777097709386,LOSS,,2,0.05412410592801714,-1.7017518405122254,2026-02-22T16:54:43.568139,2.69466981132077,13,75.0
AIN-USDT,15min,LONG,0.03250247,0.03287048,0.03234747,0.03234747,SL,,-0.476886833523715,LOSS,,2,-0.06913320741468774,-1.8228460790825982,2026-02-22T16:56:39.417472,2.3742580645161055,14,80.6
AIN-USDT,15min,LONG,0.032612579999999995,0.03287048,0.03245758,0.03245758,SL,,-0.475276718370627,LOSS,,1,-0.4065302407843638,-2.154322043824789,2026-02-22T16:57:30.155321,1.6638709677419448,14,80.6
AIN-USDT,15min,LONG,0.032612579999999995,0.03287048,0.03245758,0.03245758,SL,,-0.475276718370627,LOSS,,1,-0.4065302407843638,-2.154322043824789,2026-02-22T16:58:03.515235,1.6638709677419448,14,80.6
AIN-USDT,15min,LONG,0.032612579999999995,0.03287048,0.03245472,0.03245472,SL,,-0.48404634039991873,LOSS,,1,-0.4065302407843638,-2.154322043824789,2026-02-22T17:00:11.199416,1.6337260864057535,13,77.2
AIN-USDT,15min,LONG,0.032612579999999995,0.03287048,0.03245472,0.03245472,SL,,-0.48404634039991873,LOSS,,1,-0.4065302407843638,-2.154322043824789,2026-02-22T17:00:37.855130,1.6337260864057535,13,77.2
AIN-USDT,15min,LONG,0.03263259999999999,0.03287048,0.03247474,0.03247474,SL,,-0.4837493794548669,LOSS,,1,-0.46763052898018825,-2.214350067110773,2026-02-22T17:01:34.988106,1.5069048524010298,13,77.2
AIN-USDT,15min,LONG,0.03263259999999999,0.03287048,0.03247474,0.03247474,SL,,-0.4837493794548669,LOSS,,1,-0.46763052898018825,-2.214350067110773,2026-02-22T17:03:40.085466,1.5069048524010298,13,77.2
AIN-USDT,15min,LONG,0.03262259,0.03287048,0.03246473,0.03246473,SL,,-0.4838978143672919,LOSS,,1,-0.4370897589676295,-2.1843452650448634,2026-02-22T17:04:00.955820,1.5703154694032455,13,77.2
AIN-USDT,30min,LONG,0.03254251,0.03298838,0.03222608,0.03222608,SL,,-0.9723589237584916,LOSS,,3,-0.1920872114658482,-2.0358294427811443,2026-02-22T16:56:41.980293,1.4090636159656218,13,75.2
AUCTION-USDT,1h,LONG,4.96496,5.25444,4.93353143,4.93353143,SL,,-0.6330075166768556,LOSS,,1,-0.5027230833682287,-1.7111920337726731,2026-02-22T15:54:49.777448,9.21072769139695,13,75.0
AUCTION-USDT,1h,LONG,4.96496,5.25444,4.93353143,4.93353143,SL,,-0.6330075166768556,LOSS,,1,-0.5027230833682287,-1.7111920337726731,2026-02-22T15:55:33.361098,9.21072769139695,13,75.0
AUCTION-USDT,1h,LONG,4.96496,5.25444,4.93353143,4.93353143,SL,,-0.6330075166768556,LOSS,,1,-0.5027230833682287,-1.7111920337726731,2026-02-22T15:55:48.308325,9.21072769139695,13,75.0
AUCTION-USDT,1h,LONG,4.96496,5.25444,4.93353143,4.93353143,SL,,-0.6330075166768556,LOSS,,1,-0.5027230833682287,-1.7111920337726731,2026-02-22T16:05:39.976805,9.21072769139695,13,75.0
AUCTION-USDT,1h,LONG,4.96496,5.25444,4.93353143,4.93353143,SL,,-0.6330075166768556,LOSS,,1,-0.5027230833682287,-1.7111920337726731,2026-02-22T16:07:28.497718,9.21072769139695,13,75.0
AUCTION-USDT,1h,LONG,4.96496,5.25444,4.93353143,4.93353143,SL,,-0.6330075166768556,LOSS,,1,-0.5027230833682287,-1.7111920337726731,2026-02-22T16:07:45.556532,9.21072769139695,13,75.0
AUCTION-USDT,30min,LONG,4.954949999999999,5.10794,4.92352143,4.92352143,SL,,-0.6342863197408494,LOSS,,6,0.10191828373647899,-1.5126287853560463,2026-02-22T15:36:30.222731,4.867863857630325,13,75.0
AUCTION-USDT,30min,LONG,4.954949999999999,5.10794,4.92352143,4.92352143,SL,,-0.6342863197408494,LOSS,,6,0.10191828373647899,-1.5126287853560463,2026-02-22T15:36:37.801379,4.867863857630325,13,75.0
AUCTION-USDT,30min,LONG,4.954949999999999,5.10794,4.92352143,4.92352143,SL,,-0.6342863197408494,LOSS,,6,0.10191828373647899,-1.5126287853560463,2026-02-22T15:37:25.580803,4.867863857630325,13,75.0
AUCTION-USDT,30min,LONG,4.954949999999999,5.10794,4.92352143,4.92352143,SL,,-0.6342863197408494,LOSS,,6,0.10191828373647899,-1.5126287853560463,2026-02-22T15:42:29.895971,4.867863857630325,13,75.0
AUCTION-USDT,30min,LONG,4.954949999999999,5.10794,4.92352143,4.92352143,SL,,-0.6342863197408494,LOSS,,6,0.10191828373647899,-1.5126287853560463,2026-02-22T15:42:46.467369,4.867863857630325,13,75.0
AUCTION-USDT,30min,LONG,4.94494,5.10794,4.91351143,4.91351143,SL,,-0.6355703001452009,LOSS,,10,0.3045537458492939,-1.3132616371482768,2026-02-22T15:43:28.064740,5.1863638721074405,13,75.0
AUCTION-USDT,30min,LONG,4.96496,5.10794,4.93353143,4.93353143,SL,,-0.6330075166768556,LOSS,,3,-0.09990009990009248,-1.7111920337726731,2026-02-22T15:48:32.488226,4.549363843153033,13,75.0
AUCTION-USDT,30min,LONG,4.96496,5.10794,4.93353143,4.93353143,SL,,-0.6330075166768556,LOSS,,3,-0.09990009990009248,-1.7111920337726731,2026-02-22T15:49:17.676042,4.549363843153033,13,75.0
AUCTION-USDT,30min,LONG,4.96496,5.10794,4.93353143,4.93353143,SL,,-0.6330075166768556,LOSS,,3,-0.09990009990009248,-1.7111920337726731,2026-02-22T15:49:29.963639,4.549363843153033,13,75.0
